window,horizon,evaluation_end_exclusive,currencies,signals,median_truth_hit_rate,median_truth_random,mean_truth_lift,median_truth_lift,min_truth_lift,median_local_min_lift,min_local_min_lift,mean_benefit_bps,median_benefit_bps,min_benefit_bps,all_benefits_significant,significant_benefit_share,median_signals_per_week,median_ml_pushes_per_week,mean_ml_pushes_per_week,mean_total_pushes_per_week,min_total_pushes_per_week,max_total_pushes_per_week
2025-2026,1,2026-08-06,5,201,0.5581395348837209,0.4987146529562982,1.1524225209579306,1.1341107871720117,1.0782260548198337,1.3145929339477727,1.1315449256625727,6.803077884490226,5.421164739211405,1.278740491293496,False,0.2,0.5171821305841925,0.5171821305841925,0.4835051546391753,0.9525773195876288,0.8780068728522337,1.0103092783505154
2025-2026,3,2026-08-06,5,201,0.35294117647058826,0.31876606683804626,1.1613777949844193,1.1441176470588235,1.1022432113341203,1.2368839427662957,1.1681681681681682,14.00804671983274,14.72630282442353,10.574972703118368,False,0.4,0.5171821305841925,0.5171821305841925,0.4835051546391753,0.9525773195876288,0.8780068728522337,1.0103092783505154
2025-2026,5,2026-08-06,5,201,0.3409090909090909,0.2544987146529563,1.3083282220989543,1.2923588039867109,1.260382916053019,1.3729411764705883,1.1531620553359683,24.756642111464117,26.511346816049855,21.735608743523443,True,1.0,0.5171821305841925,0.5171821305841925,0.4835051546391753,0.9525773195876288,0.8780068728522337,1.0103092783505154
2025-2026,10,2026-08-06,5,201,0.29411764705882354,0.19023136246786632,1.4807408668481483,1.4421975058982137,1.3517374517374516,0.8224101479915433,0.7858585858585859,51.52851909539303,47.16496933389606,41.43478559014656,True,1.0,0.5171821305841925,0.5171821305841925,0.4835051546391753,0.9525773195876288,0.8780068728522337,1.0103092783505154
2025-2026,20,2026-08-06,5,201,0.2647058823529412,0.14652956298200515,1.7619391268682143,1.6772802653399665,1.5877551020408163,1.2629870129870129,0.0,94.81440368289255,90.5178780564831,76.0083466724548,True,1.0,0.5171821305841925,0.5171821305841925,0.4835051546391753,0.9525773195876288,0.8780068728522337,1.0103092783505154
